1,9780060001261,"Less Than Zero",5.99,1.36051,1,2,2003,147613,"Perry the Penguin needs 9 clams to buy an ice scooter -- but he's not very good at saving. As Perry earns, spends, finds, loses, and borrows clams, a simple line graph demonstrates the concept of negative numbers."
2,9780880014977,"In The Garden Of The North American Martyrs (Stories)",13.95,4.90143,3,3,2004,92849,"Among the characters you'll find in this collection of twelve stories by Tobias Wolff are a teenage boy who tells morbid lies about his home life, a timid professor who, in the first genuine outburst of her life, pours out her opinions in spite of a protesting audience, a prudish loner who gives an obnoxious hitchhiker a ride, and an elderly couple on a golden anniversary cruise who endure the offensive conviviality of the ship's social director."
3,9780060511166,"Amelia Bedelia's Family Album",4.99,3.29998,4,1,2003,909036,"Who could be more zany than Amelia Bedelia, everyone's favorite literal-minded housekeeper? Her family, of course! Meet the wacky members of this very original and entertaining family!"
4,9780060513139,"De la cabeza a los pies (From Head to Toe (Spanish edition))",8.99,2.63537,1,2,2007,605461,"This high-quality Spanish-language book can be enjoyed by fluent Spanish speakers as well as those learning the language, whether at home or in a classroom."
5,9780060514099,"Molly Moon's Incredible Book of Hypnotism",7.99,4.89488,4,3,2004,503413,"Molly Moon is no ordinary orphan. When she finds a mysterious old book on hypnotism, she discovers she can make people do whatever she wants. But a sinister stranger is watching her every move and he'll do anything to steal her hypnotic secret..."
6,9780060515805,"Walk This Way (The Autobiography of Aerosmith)",16.99,1.79145,5,3,2003,433822,"Walk This Way: The Autobiography of Aerosmith is available in time for the Aerosmith's 40th Anniversary. It's the New York Times bestselling autobiography by the legendary rock group that lived by the motto ""Anything worth doing was worth overdoing."" Aerosmith shook the music world out of its '70s doldrums…and made living on the edge an art form. Walk This Way is the complete and candid story of their meteoric rise to fame, their near destruction due to drugs and excess, and their return to the stage as one of America's greatest rock bands. Cowritten by respected rock journalist Stephen Davis, author of the seminal profile of Led Zeppelin, Hammer of the Gods, and with a new afterward from the band, this edition of the memoir to end all rock memoirs is the perfect  gift for you and your favorite Aerosmith fan."
7,9780876859810,"Living On Luck",18.99,4.0751,7,3,2002,365790,"Living on Luck is a collection of letters from the 1960s mixed in with poems and drawings. The ever clever Charles Bukowski fills the pages with his rough exterior and juicy center."
8,9780060566760,"Hell at the Breech (A Novel)",15.99,2.88549,3,3,2003,580367,"In 1897, an aspiring politician is mysteriously murdered in the rural area of Alabama known as Mitcham Beat. His outraged friends -- —mostly poor cotton farmers -- form a secret society, Hell-at-the-Breech, to punish the townspeople they believe responsible. The hooded members wage a bloody year-long campaign of terror that culminates in a massacre where the innocent suffer alongside the guilty. Caught in the maelstrom of the Mitcham war are four people: the aging sheriff sympathetic to both sides; the widowed midwife who delivered nearly every member of Hell-at-the-Breech; a ruthless detective who wages his own war against the gang; and a young store clerk who harbors a terrible secret."
9,9780060557737,"Hamster Champs",6.99,2.00975,1,2,2005,1284,"Stuart J. Murphy travels all over the UnitedStates talking to thousands of kids. And you'll never believe what they talk about: MATH! Stuart shows kids that they use math every day -- to share a pizza, spend their allowance, even sort socks. Stuart writes funny stories about math -- and if you read his books, you'll start to see the fun in math, too."
10,9780060566166,"A Year with C. S. Lewis (Daily Readings from His Classic Works)",24.99,1.42517,8,2,2003,729260,"The classic A Year with C.S. Lewis is an intimate day-to-day companion by C.S. Lewis, the most important Christian writer of the 20th century. The daily meditations have been culled from Lewis’ celebrated signature classics: Mere Christianity, The Screwtape Letters, The Great Divorce, The Problem of Pain, Miracles, and A Grief Observed, as well as from the distinguished works The Weight of Glory and The Abolition of Man. Ruminating on such themes as the nature of love, the existence of miracles, overcoming a devastating loss, and discovering a profound Christian faith, A Year with C.S. Lewis offers unflinchingly honest insight for each day of the year."
11,9780060580865,"The Frog and Toad Collection Box Set (Includes 3 Favorite Frog and Toad Stories!)",14.99,3.34081,1,1,2004,855233,"Three beloved Frog and Toad books in a paperback slipcase"
12,9780060745929,"I Stink! Board Book",7.99,2.45082,4,2,2005,770322,"For fans of Goodnight, Goodnight, Construction Site and Steam Train, Dream Train comes a noisy addition to the hilarious read-aloud series from Kate and Jim McMullan, the popular creators of I’m Bad! and I’m Dirty! Now a streaming animated series!"
13,9780060853976,"Good Omens (The Nice and Accurate Prophecies of Agnes Nutter, Witch)",17.99,3.72166,3,1,2007,522162,"The classic collaboration from the international bestselling authors, now available in a keepsake hardcover edition. . . . “The Apocalypse has never been funnier.”—Clive Barker

Readers around the world have embraced the brilliance of Neil Gaiman and Terry Pratchett. Now, 15 years after it was first published, their classic comic novel of the endtimes—the only collaborative effort of these two masters—is available in a special collector’s edition sure to attract the attention of devoted fans and new readers alike."
14,9780060855888,"The Light Fantastic (A Discworld Novel)",15.99,3.52227,3,2,2005,317834,"Terry Pratchett's profoundly irreverent, bestselling novels have garnered him a revered position in the halls of parody next to the likes of Mark Twain, Kurt Vonnegut, Douglas Adams, and Carl Hiaasen."
15,9780060871253,"Seekers #2: Great Bear Lake",16.99,2.0246,4,3,2009,227683,"The second book in a thrilling animal fantasy series following the epic journey of three bears, from the #1 nationally bestselling author of Warriors."
16,9780061170812,"Mac and Cheese",4.99,1.47374,1,3,2010,486408,"Written in the style of P. D. Eastman’s classic Big Dog . . . Little Dog, this modern-day alley-cat odd couple will delight beginning readers."
17,9780380810123,"Johnny Hangtime",5.99,2.54853,4,3,2008,609071,"It's a bird, It's a plane--no, It's Johnny Hangtime!"
18,9780061688652,"Warriors Manga: Ravenpaw's Path #1: Shattered Peace",6.99,3.93664,4,2,2009,867634,"A graphic novel adventure from the world of Erin Hunter’s #1 nationally bestselling Warriors series!"
19,9780062094964,"Amelia Bedelia Chapter Book #1: Amelia Bedelia Means Business",5.99,3.46401,1,3,2013,7498,"Amelia Bedelia makes her chapter book debut! In Amelia Bedelia Means Business, a New York Times bestseller and the first book in the new chapter book series, young Amelia Bedelia will do almost anything for a shiny new bicycle."
20,9780062095060,"Amelia Bedelia Chapter Book #4: Amelia Bedelia Goes Wild!",5.99,1.02149,1,3,2014,759910,"Amelia Bedelia, America's favorite housekeeper, had a childhood full of surprises, mischief, and hilarious misunderstandings. In this illustrated chapter book adventure, just right for fans of Judy Moody and Ivy + Bean, young Amelia Bedelia and her friends build a zoo in the backyard (complete with stuffed animals and attractions) and offer safari adventures to the entire neighborhood. This is the fourth book in the nationally bestselling Amelia Bedelia chapter book series, and it is just right for newly independent readers ready for a more challenging vocabulary and books with chapters."
21,9780062218865,"Snuff (A Novel of Discworld)",9.99,3.70627,3,1,2012,408471,"At long last, Lady Sybil has lured her husband, Sam Vimes, on a well-deserved holiday away from the crime and grime of Ankh-Morpork. But for the commander of the City Watch, a vacation in the country is anything but relaxing. The balls, the teas, the muck—not to mention all that fresh air and birdsong—are more than a bit taxing on a cynical city-born and -bred copper."
22,9780062237378,"Small Gods (A Novel of Discworld)",9.99,4.03669,3,3,2013,673255,"Lost in the chill deeps of space between the galaxies, it sails on forever, a flat, circular world carried on the back of a giant turtle—"
23,9780062270306,"Twelve Recipes",27.99,2.53429,16,1,2014,642701,"Winner of the 2015 International Association of Culinary Professionals (IACP) Cookbook Award"
24,9780062272157,"The Eighth Day",16.99,4.95822,4,2,2014,686672,"Fans of Percy Jackson will devour this first book in Dianne K. Salerni's time-bending series that combines exciting magic and pulse-pounding suspense. In this riveting fantasy adventure, thirteen-year-old Jax Aubrey discovers a secret eighth day with roots tracing back to Arthurian legend."
25,9780061564901,"Paula (A Memoir)",16.99,4.33314,5,2,2013,209356,"When Isabel Allende's daughter, Paula, became gravely ill and fell into a coma, the author began to write the story of her family for her unconscious child. In the telling, bizarre ancestors appear before our eyes; we hear both delightful and bitter childhood memories, amazing anecdotes of youthful years, and the most intimate secrets passed along in whispers. With Paula, Allende has written a powerful autobiography whose straightforward acceptance of the magical and spiritual worlds will remind readers of her first book, The House of the Spirits."
26,9780062281753,"The December Project (An Extraordinary Rabbi and a Skeptical Seeker Confront Life's Greatest Mystery)",14.99,4.06271,11,3,2015,437801,"A Jewish Book Award Finalist"
27,9780062283597,"Big Nate: In a Class by Himself",7.99,2.44976,1,3,2015,504989,"“Big Nate is funny, big time.”--Jeff Kinney, author of Diary of a Wimpy Kid"
28,9780062287045,"Pretty Little Liars #16: Vicious",17.99,2.87104,6,3,2014,404972,"#1 New York Times bestselling series"
29,9780062294401,"The First Phone Call from Heaven (A Novel)",16.99,2.68833,3,3,2014,796691,"""What if the end is not the end?"""
30,9780062365750,"Lost River (A Cooper & Fry Mystery)",11.99,2.79549,3,3,2014,730865,"This atmospheric thriller is perfect for fans of Ian Rankin and Peter Robinson"
31,9780062297969,"Did God Kill Jesus? (Searching for Love in History's Most Famous Execution)",26.99,4.73382,8,2,2015,708525,"The popular Patheos blogger wants to restore the cross as primarily a symbol of God’s overwhelming love for us and to rescue Christians from the shame and guilt from seeing our situation as “sinners in the hands of an angry God,” which was an invention of the medieval church and became enshrined as orthodox Christianity."
32,9780062317384,"The Orphan Queen",17.99,2.37628,6,2,2015,928251,"An epic fantasy filled with adventure, intrigue, and romance from the New York Times bestselling coauthor of My Plain Jane, perfect for fans of Graceling by Kristin Cashore, The Girl of Fire and Thorns by Rae Carson, and Shadow and Bone by Leigh Bardugo."
33,9780062317605,"Bone Gap",17.99,2.51126,20,1,2015,201868,"National Book Award Finalist * Printz Award Winner for Best Young Adult Book of the Year"
34,9780062325310,"Savage Harvest (A Tale of Cannibals, Colonialism, and Michael Rockefeller's Tragic Quest for Primitive Art)",18.99,2.12664,21,1,2014,218305,"The mysterious disappearance of Michael Rockefeller in remote New Guinea in 1961 has kept the world, and even Michael's powerful, influential family, guessing for years. Now, Carl Hoffman uncovers startling new evidence that finally tells the full, astonishing story."
