"ISBN","name","Price","rating","GenreId","PublisherId","year","copies","description"
9780060001261,"Less Than Zero",5.99,3.02772,1,2,2003,143535,"Perry the Penguin needs 9 clams to buy an ice scooter -- but he's not very good at saving. As Perry earns, spends, finds, loses, and borrows clams, a simple line graph demonstrates the concept of negative numbers."
9780880014977,"In The Garden Of The North American Martyrs (Stories)",13.95,2.03957,3,1,2004,444491,"Among the characters you'll find in this collection of twelve stories by Tobias Wolff are a teenage boy who tells morbid lies about his home life, a timid professor who, in the first genuine outburst of her life, pours out her opinions in spite of a protesting audience, a prudish loner who gives an obnoxious hitchhiker a ride, and an elderly couple on a golden anniversary cruise who endure the offensive conviviality of the ship's social director."
9780060511166,"Amelia Bedelia's Family Album",4.99,2.05681,4,3,2003,794922,"Who could be more zany than Amelia Bedelia, everyone's favorite literal-minded housekeeper? Her family, of course! Meet the wacky members of this very original and entertaining family!"
9780060513139,"De la cabeza a los pies (From Head to Toe (Spanish edition))",8.99,1.15607,1,3,2007,141305,"This high-quality Spanish-language book can be enjoyed by fluent Spanish speakers as well as those learning the language, whether at home or in a classroom."
9780060514099,"Molly Moon's Incredible Book of Hypnotism",7.99,2.33498,4,3,2004,304124,"Molly Moon is no ordinary orphan. When she finds a mysterious old book on hypnotism, she discovers she can make people do whatever she wants. But a sinister stranger is watching her every move and he'll do anything to steal her hypnotic secret..."
9780060515805,"Walk This Way (The Autobiography of Aerosmith)",16.99,2.43651,5,1,2003,507242,"Walk This Way: The Autobiography of Aerosmith is available in time for the Aerosmith's 40th Anniversary. It's the New York Times bestselling autobiography by the legendary rock group that lived by the motto ""Anything worth doing was worth overdoing."" Aerosmith shook the music world out of its '70s doldrums…and made living on the edge an art form. Walk This Way is the complete and candid story of their meteoric rise to fame, their near destruction due to drugs and excess, and their return to the stage as one of America's greatest rock bands. Cowritten by respected rock journalist Stephen Davis, author of the seminal profile of Led Zeppelin, Hammer of the Gods, and with a new afterward from the band, this edition of the memoir to end all rock memoirs is the perfect  gift for you and your favorite Aerosmith fan."
9780876859810,"Living On Luck",18.99,2.00933,7,2,2002,316223,"Living on Luck is a collection of letters from the 1960s mixed in with poems and drawings. The ever clever Charles Bukowski fills the pages with his rough exterior and juicy center."
9780060566760,"Hell at the Breech (A Novel)",15.99,3.44886,3,1,2003,655019,"In 1897, an aspiring politician is mysteriously murdered in the rural area of Alabama known as Mitcham Beat. His outraged friends -- —mostly poor cotton farmers -- form a secret society, Hell-at-the-Breech, to punish the townspeople they believe responsible. The hooded members wage a bloody year-long campaign of terror that culminates in a massacre where the innocent suffer alongside the guilty. Caught in the maelstrom of the Mitcham war are four people: the aging sheriff sympathetic to both sides; the widowed midwife who delivered nearly every member of Hell-at-the-Breech; a ruthless detective who wages his own war against the gang; and a young store clerk who harbors a terrible secret."
9780060557737,"Hamster Champs",6.99,2.16615,1,2,2005,271285,"Stuart J. Murphy travels all over the UnitedStates talking to thousands of kids. And you'll never believe what they talk about: MATH! Stuart shows kids that they use math every day -- to share a pizza, spend their allowance, even sort socks. Stuart writes funny stories about math -- and if you read his bookIBSN, you'll start to see the fun in math, too."
9780060566166,"A Year with C. S. Lewis (Daily Readings from His Classic Works)",24.99,4.68199,8,3,2003,501306,"The classic A Year with C.S. Lewis is an intimate day-to-day companion by C.S. Lewis, the most important Christian writer of the 20th century. The daily meditations have been culled from Lewis’ celebrated signature classics: Mere Christianity, The Screwtape Letters, The Great Divorce, The Problem of Pain, Miracles, and A Grief Observed, as well as from the distinguished works The Weight of Glory and The Abolition of Man. Ruminating on such themes as the nature of love, the existence of miracles, overcoming a devastating loss, and discovering a profound Christian faith, A Year with C.S. Lewis offers unflinchingly honest insight for each day of the year."
9780060580865,"The Frog and Toad Collection Box Set (Includes 3 Favorite Frog and Toad Stories!)",14.99,4.48165,1,1,2004,613455,"Three beloved Frog and Toad bookIBSN in a paperback slipcase"
9780060745929,"I Stink! Board Book",7.99,1.28651,4,2,2005,428209,"For fans of Goodnight, Goodnight, Construction Site and Steam Train, Dream Train comes a noisy addition to the hilarious read-aloud series from Kate and Jim McMullan, the popular creators of I’m Bad! and I’m Dirty! Now a streaming animated series!"
9780060853976,"Good Omens (The Nice and Accurate Prophecies of Agnes Nutter, Witch)",17.99,2.69228,3,3,2007,478504,"The classic collaboration from the international bestselling authors, now available in a keepsake hardcover edition. . . . “The Apocalypse has never been funnier.”—Clive Barker

Readers around the world have embraced the brilliance of Neil Gaiman and Terry Pratchett. Now, 15 years after it was first published, their classic comic novel of the endtimes—the only collaborative effort of these two masters—is available in a special collector’s edition sure to attract the attention of devoted fans and new readers alike."
9780060855888,"The Light Fantastic (A Discworld Novel)",15.99,3.77605,3,3,2005,66159,"Terry Pratchett's profoundly irreverent, bestselling novels have garnered him a revered position in the halls of parody next to the likes of Mark Twain, Kurt Vonnegut, Douglas Adams, and Carl Hiaasen."
9780061170812,"Mac and Cheese",4.99,3.18857,1,1,2010,837905,"Written in the style of P. D. Eastman’s classic Big Dog . . . Little Dog, this modern-day alley-cat odd couple will delight beginning readers."
