ISBN,biography
ISBN,
9780060522872,
9780060557812,
9780380800827,
9780688087456,
9780060853976,
9780060888398,
9780380804559,"Neil Gaiman is the #1 New York Times bestselling author of more than twenty books, including Norse Mythology, Neverwhere, and The Graveyard Book. Among his numerous literary awards are the Newbery and Carnegie medals, and the Hugo, Nebula, World Fantasy, and Will Eisner awards. He is a Professor in the Arts at Bard College."
9780060536909,
9780061358302,
9780061430459,
9780688046590,
9780061665738,
9780061765285,
9780380820856,
9780061885006,
9780061944185,
9780061950704,
9780061958120,
9780061998638,
9780062002150,"Peter Robinson grew up in Yorkshire, and now divides his time between Richmond and Canada. Peter has written twenty-four books in the Number One Bestselling DCI Banks series as well as two collections of short stories and three standalone novels, the most recent of which is Number One bestseller BEFORE THE POISON. Peter's critically acclaimed crime novels have won numerous awards in Britain, the United States, Canada and Europe, and are published in translation all over the world. 
Peter's DCI Banks is now a major ITV1 drama by Left Bank productions. Stephen Tompkinson (Wild at Heart, Ballykissangel) plays Inspector Banks, and Andrea Lowe (The Bill, Murphy's Law) plays DI Annie Cabbot. The first series aired in Autumn 2011 with an adaptation of FRIEND OF THE DEVIL, the second in Autumn 2012, and the third in February 2014.
Peter's standalone novel BEFORE THE POISON won the IMBA's 2013 Dilys Award as well as the 2012 Arthur Ellis Award for Best Novel by the Crime Writers of Canada. This was Peter's sixth Arthur Ellis award.
Find out more from Peter's website, www.inspectorbanks.com, or visit his Facebook page, www.facebook.com/peterrobinsonauthor."
9780062082992,
9780062094964,"Herman Parish was in the fourth grade when his aunt, Peggy Parish, wrote the first book about Amelia Bedelia. The lovable, literal-minded housekeeper has been a member of his family ever since. Peggy Parish died in 1988. She would be proud and delighted to know that with Good Driving, Amelia Bedelia; Bravo, Amelia Bedelia!; Amelia Bedelia 4 Mayor and now Calling Doctor Amelia Bedelia, her nephew is carrying on -- for a new generation of readers -- the tradition she began years ago. 
In His Own Words... ""In true Amelia Bedelia fashion, I backed into writing these books about the literal-minded housekeeper who children laugh at and love. Amelia Bedelia was created by my aunt, Peggy Parish. Although she passed away in 1988, Peggy still received fan mail from children. They wondered when the next Amelia Bedelia book would be out. Then other children's authors wrote and volunteered to continue the series. I felt uneasy about Amelia Bedelia leaving our family. As I was in the fourth grade when she first appeared, I had literally grown up with her. So I decided to try to write a new Amelia Bedelia adventure. My two sisters and my family were very supportive and encouraged me. I'd had experience in writing advertisements. I reread the Amelia Bedelia stories to figure out what made them funny. I realized that everyday life overflows with idiomatic expressions, literalisms, and homophones. It's amazing more people don't get confused-besides Amelia Bedelia! My first book, Good Driving, Amelia Bedelia, took me a year to think about and one night to write. I had been collecting ideas, homonyms, and expressions. Whenever I heard them, I jotted them down: on napkins in restaurants, on my newspaper while riding the bus, and on agenda sheets in business meetings.
I stockpiled these fragments in a folder until one Sunday night, with my family asleep, I decided that it was now or never. I sat down around ten o'clock and began to write. I was so focused on the story that I finished as the sun came up on Monday morning. Naturally, the story needed revision, but the essence was captured in that all-night writing spree.
I am fortunate that my editor, Susan Hirschman, and the illustrator, Lynn Sweat, had worked with Peggy on many Amelia Bedelia books. That helped make the transition from Peggy's books to mine as seamless as possible.
I feel very lucky to be writing Amelia Bedelia books and continuing a family tradition. But the best reward was when a child wrote Peggy Parish a fan letter. It said that Good Driving, Amelia Bedelia is the best book she has written. To me, that's the highest compliment I could hope for."""
